City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Balikpapan,ID,-1.2675,116.8289,80.6,89,40,3.44,scattered clouds
318,Beyneu,KZ,45.3167,55.2,23.22,87,100,15.3,overcast clouds
319,Alofi,NU,-19.0595,-169.9187,86.0,62,75,11.5,broken clouds
320,Safford,US,32.834,-109.7076,69.8,13,1,10.36,clear sky
321,Tshela,CD,-4.9833,12.9333,75.09,95,100,2.06,overcast clouds
322,Roslavl,RU,53.9528,32.8639,-3.87,93,47,3.15,scattered clouds
323,Praia Da Vitoria,PT,38.7333,-27.0667,55.99,82,20,10.54,few clouds
324,Isangel,VU,-19.55,169.2667,84.2,74,40,6.91,scattered clouds
325,Broome,US,42.2506,-75.833,17.6,73,1,5.75,clear sky
326,Taree,AU,-31.9,152.4667,77.0,61,75,9.22,light rain
327,Raipur,IN,21.2333,81.6333,59.0,63,99,6.91,haze
328,Tautira,PF,-17.7333,-149.15,87.8,58,40,3.44,scattered clouds
329,Bar Harbor,US,44.3876,-68.2039,28.0,86,90,13.8,light snow
330,Tarakan,ID,3.3,117.6333,78.8,94,40,3.44,scattered clouds
331,Piacabucu,BR,-10.4056,-36.4344,78.51,79,100,12.62,overcast clouds
332,Sola,VU,-13.8833,167.55,89.6,70,75,3.31,broken clouds
333,Samarai,PG,-10.6167,150.6667,86.59,65,83,1.72,broken clouds
334,Malindi,KE,-3.2175,40.1191,82.4,74,40,9.22,scattered clouds
335,Marawi,PH,7.9986,124.2928,75.0,95,100,1.99,overcast clouds
336,Leshukonskoye,RU,64.8989,45.7622,-22.92,86,98,7.45,overcast clouds
337,Sobolevo,RU,54.4299,31.8996,-3.28,93,0,3.71,clear sky
338,Inyonga,TZ,-6.7167,32.0667,66.13,93,100,3.58,light rain
339,Saint Anthony,US,45.0205,-93.218,-2.2,46,90,6.91,overcast clouds
340,Cap-Aux-Meules,CA,47.3821,-61.8597,24.8,74,100,1.14,light snow
341,Constitucion,CL,-35.3333,-72.4167,58.1,90,0,7.11,clear sky
342,Lorengau,PG,-2.0226,147.2712,84.11,75,100,4.85,overcast clouds
343,Nishihara,JP,26.1842,127.7558,66.2,55,1,9.22,clear sky
344,Odweyne,SO,9.4092,45.064,62.53,62,2,8.01,clear sky
345,Mawlaik,MM,23.6333,94.4167,56.55,62,0,1.1,clear sky
346,Namibe,AO,-15.1961,12.1522,72.03,79,67,4.74,broken clouds
347,Shanghai,CN,31.2222,121.4581,46.0,65,40,13.42,scattered clouds
